Emotions,Path
neutral,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-01-01-01-01-01.wav
neutral,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-01-01-01-02-01.wav
neutral,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-01-01-02-01-01.wav
neutral,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-01-01-02-02-01.wav
calm,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-02-01-01-01-01.wav
calm,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-02-01-01-02-01.wav
calm,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-02-01-02-01-01.wav
calm,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-02-01-02-02-01.wav
calm,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-02-02-01-01-01.wav
calm,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-02-02-01-02-01.wav
calm,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-02-02-02-01-01.wav
calm,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-02-02-02-02-01.wav
happy,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-03-01-01-01-01.wav
happy,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-03-01-01-02-01.wav
happy,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-03-01-02-01-01.wav
happy,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-03-01-02-02-01.wav
happy,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-03-02-01-01-01.wav
happy,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-03-02-01-02-01.wav
happy,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-03-02-02-01-01.wav
happy,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-03-02-02-02-01.wav
sad,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-04-01-01-01-01.wav
sad,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-04-01-01-02-01.wav
sad,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-04-01-02-01-01.wav
sad,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-04-01-02-02-01.wav
sad,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-04-02-01-01-01.wav
sad,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-04-02-01-02-01.wav
sad,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-04-02-02-01-01.wav
sad,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-04-02-02-02-01.wav
angry,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-05-01-01-01-01.wav
angry,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-05-01-01-02-01.wav
angry,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-05-01-02-01-01.wav
angry,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-05-01-02-02-01.wav
angry,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-05-02-01-01-01.wav
angry,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-05-02-01-02-01.wav
angry,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-05-02-02-01-01.wav
angry,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-05-02-02-02-01.wav
fear,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-06-01-01-01-01.wav
fear,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-06-01-01-02-01.wav
fear,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-06-01-02-01-01.wav
fear,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-06-01-02-02-01.wav
fear,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-06-02-01-01-01.wav
fear,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-06-02-01-02-01.wav
fear,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-06-02-02-01-01.wav
fear,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-06-02-02-02-01.wav
disgust,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-07-01-01-01-01.wav
disgust,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-07-01-01-02-01.wav
disgust,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-07-01-02-01-01.wav
disgust,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-07-01-02-02-01.wav
disgust,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-07-02-01-01-01.wav
disgust,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-07-02-01-02-01.wav
disgust,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-07-02-02-01-01.wav
disgust,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-07-02-02-02-01.wav
surprise,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-08-01-01-01-01.wav
surprise,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-08-01-01-02-01.wav
surprise,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-08-01-02-01-01.wav
surprise,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-08-01-02-02-01.wav
surprise,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-08-02-01-01-01.wav
surprise,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-08-02-01-02-01.wav
surprise,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-08-02-02-01-01.wav
surprise,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_01/03-01-08-02-02-02-01.wav
neutral,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_02/03-01-01-01-01-01-02.wav
neutral,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_02/03-01-01-01-01-02-02.wav
neutral,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_02/03-01-01-01-02-01-02.wav
neutral,D:/coursework_datasets/Ravdess/audio_speech_actors_01-24/Actor_02/03-01-01-01-02-02-02.wav
